Zip,PercentBach,RLCI,RUCI,IndicatorValueUnstable,BachPeriodofMeas
90620,30.1,27.9,32.3,No,2014-2018
90621,29.8,27.1,32.5,No,2014-2018
90623,47.6,43.5,51.7,No,2014-2018
90630,42.1,40.1,44.1,No,2014-2018
90631,30.1,28.7,31.5,No,2014-2018
90680,17.1,15.1,19.1,No,2014-2018
90720,53.7,51,56.4,No,2014-2018
90740,49.2,46.9,51.5,No,2014-2018
90742,45.7,34.7,56.7,No,2014-2018
90743,62.6,45.5,79.7,No,2014-2018
92602,67.6,62.4,72.8,No,2014-2018
92603,79.8,75.8,83.8,No,2014-2018
92604,62.5,60.1,64.9,No,2014-2018
92606,65.1,61.1,69.1,No,2014-2018
92610,61.8,57.7,65.9,No,2014-2018
92612,67,64.3,69.7,No,2014-2018
92614,65.5,62.7,68.3,No,2014-2018
92617,87.8,83.7,91.9,No,2014-2018
92618,65.9,62.8,69,No,2014-2018
92620,70.2,67.8,72.6,No,2014-2018
92624,41.6,35.2,48,No,2014-2018
92625,67.7,63.8,71.6,No,2014-2018
92626,44.5,42.5,46.5,No,2014-2018
92627,36.3,34.7,37.9,No,2014-2018
92629,53,50.2,55.8,No,2014-2018
92630,43,41.2,44.8,No,2014-2018
92637,48.3,45.5,51.1,No,2014-2018
92646,43.8,42.3,45.3,No,2014-2018
92647,36.1,34.4,37.8,No,2014-2018
92648,46.1,43.9,48.3,No,2014-2018
92649,47.8,45.5,50.1,No,2014-2018
92651,67.9,65.2,70.6,No,2014-2018
92653,49.1,45.8,52.4,No,2014-2018
92655,16.8,13.4,20.2,No,2014-2018
92656,55.4,53.4,57.4,No,2014-2018
92657,73.2,67.9,78.5,No,2014-2018
92660,68.6,66.5,70.7,No,2014-2018
92661,61,53.6,68.4,No,2014-2018
92662,71.3,64.8,77.8,No,2014-2018
92663,60,56.9,63.1,No,2014-2018
92672,44.8,42.2,47.4,No,2014-2018
92673,54.6,51.3,57.9,No,2014-2018
92675,38.6,35.7,41.5,No,2014-2018
92676,43.6,37,50.2,No,2014-2018
92677,53.2,51.1,55.3,No,2014-2018
92678,37.2,24.7,49.7,No,2014-2018
92679,59.2,56.7,61.7,No,2014-2018
92683,25.8,24.4,27.2,No,2014-2018
92688,50.7,48.4,53,No,2014-2018
92691,44,42.4,45.6,No,2014-2018
92692,51.4,49.4,53.4,No,2014-2018
92694,67.1,64.1,70.1,No,2014-2018
92701,10,8.7,11.3,No,2014-2018
92703,8.6,7.6,9.6,No,2014-2018
92704,15.3,14.2,16.4,No,2014-2018
92705,41.1,39.1,43.1,No,2014-2018
92706,20.4,18.6,22.2,No,2014-2018
92707,14.2,13.1,15.3,No,2014-2018
92708,42.4,40.6,44.2,No,2014-2018
92780,33.6,31.8,35.4,No,2014-2018
92782,66.4,63.3,69.5,No,2014-2018
92801,19.5,17.8,21.2,No,2014-2018
92802,19.4,17.8,21,No,2014-2018
92804,22.1,20.8,23.4,No,2014-2018
92805,17.5,16.3,18.7,No,2014-2018
92806,26,24.2,27.8,No,2014-2018
92807,42.5,40.2,44.8,No,2014-2018
92808,55.5,52.4,58.6,No,2014-2018
92821,43.7,41.4,46,No,2014-2018
92823,60.1,53.7,66.5,No,2014-2018
92831,41.9,39.5,44.3,No,2014-2018
92832,29.4,26.8,32,No,2014-2018
92833,40.4,38.2,42.6,No,2014-2018
92835,53.8,50.8,56.8,No,2014-2018
92840,20.7,19.2,22.2,No,2014-2018
92841,19.6,17.8,21.4,No,2014-2018
92843,15.9,14.4,17.4,No,2014-2018
92844,21.4,19.2,23.6,No,2014-2018
92845,37,34.1,39.9,No,2014-2018
92861,52.7,47.7,57.7,No,2014-2018
92865,35.1,32.4,37.8,No,2014-2018
92866,34.4,30.3,38.5,No,2014-2018
92867,38.7,36.4,41,No,2014-2018
92868,27.2,24.1,30.3,No,2014-2018
92869,41.7,39.6,43.8,No,2014-2018
92870,38.7,36.8,40.6,No,2014-2018
92886,51.2,49.1,53.3,No,2014-2018
92887,58.2,55.5,60.9,No,2014-2018
