Zip,IncomeMed,LowerConfInterval,UpperConfInterval,IndicatorValueUnstable,IncPeriodofMeas
90620,88082,83260,92904,No,2014-2018
90621,60799,57463,64135,No,2014-2018
90623,99576,88221,110931,No,2014-2018
90630,92073,88366,95780,No,2014-2018
90631,79500,76337,82663,No,2014-2018
90680,58402,55473,61331,No,2014-2018
90720,101484,92713,110255,No,2014-2018
90740,67970,63029,72911,No,2014-2018
90742,81667,70979,92355,No,2014-2018
90743,150208,88846,211570,No,2014-2018
92602,105433,90801,120065,No,2014-2018
92603,131196,109997,152395,No,2014-2018
92604,105108,97897,112319,No,2014-2018
92606,96588,88154,105022,No,2014-2018
92610,131845,122763,140927,No,2014-2018
92612,79366,73134,85598,No,2014-2018
92614,97742,89143,106341,No,2014-2018
92617,39135,28495,49775,No,2014-2018
92618,101822,96648,106996,No,2014-2018
92620,110483,104428,116538,No,2014-2018
92624,97976,77018,118934,No,2014-2018
92625,140232,123484,156980,No,2014-2018
92626,84968,79660,90276,No,2014-2018
92627,71776,68116,75436,No,2014-2018
92629,100243,92929,107557,No,2014-2018
92630,92552,88632,96472,No,2014-2018
92637,41928,39137,44719,No,2014-2018
92646,96915,92477,101353,No,2014-2018
92647,80218,77187,83249,No,2014-2018
92648,93413,88998,97828,No,2014-2018
92649,97459,91461,103457,No,2014-2018
92651,126469,116448,136490,No,2014-2018
92653,99078,93693,104463,No,2014-2018
92655,42342,28994,55690,No,2014-2018
92656,108288,104732,111844,No,2014-2018
92657,204688,141113,268263,No,2014-2018
92660,122222,115571,128873,No,2014-2018
92661,106673,92050,121296,No,2014-2018
92662,106143,86819,125467,No,2014-2018
92663,103965,95299,112631,No,2014-2018
92672,81347,76414,86280,No,2014-2018
92673,147747,137444,158050,No,2014-2018
92675,88692,82959,94425,No,2014-2018
92676,103935,93046,114824,No,2014-2018
92677,103322,99093,107551,No,2014-2018
92678,90962,71788,110136,No,2014-2018
92679,162447,155536,169358,No,2014-2018
92683,61813,59382,64244,No,2014-2018
92688,108876,105019,112733,No,2014-2018
92691,113280,108310,118250,No,2014-2018
92692,114167,108400,119934,No,2014-2018
92694,166262,158531,173993,No,2014-2018
92701,46728,42705,50751,No,2014-2018
92703,57186,54973,59399,No,2014-2018
92704,65645,63082,68208,No,2014-2018
92705,101711,97154,106268,No,2014-2018
92706,64102,59973,68231,No,2014-2018
92707,73648,71064,76232,No,2014-2018
92708,84509,79662,89356,No,2014-2018
92780,70536,68451,72621,No,2014-2018
92782,112204,104804,119604,No,2014-2018
92801,60554,57602,63506,No,2014-2018
92802,58944,55586,62302,No,2014-2018
92804,61611,58269,64953,No,2014-2018
92805,63691,61291,66091,No,2014-2018
92806,68272,64058,72486,No,2014-2018
92807,107390,97807,116973,No,2014-2018
92808,124466,117231,131701,No,2014-2018
92821,89970,86139,93801,No,2014-2018
92823,144325,120290,168360,No,2014-2018
92831,65948,62412,69484,No,2014-2018
92832,61208,55654,66762,No,2014-2018
92833,74578,71272,77884,No,2014-2018
92835,102929,93115,112743,No,2014-2018
92840,68233,64657,71809,No,2014-2018
92841,59882,57212,62552,No,2014-2018
92843,60232,57211,63253,No,2014-2018
92844,57126,52950,61302,No,2014-2018
92845,99063,88901,109225,No,2014-2018
92861,146417,133970,158864,No,2014-2018
92865,101643,96981,106305,No,2014-2018
92866,72846,68188,77504,No,2014-2018
92867,90233,84394,96072,No,2014-2018
92868,65217,60556,69878,No,2014-2018
92869,102536,93949,111123,No,2014-2018
92870,89360,83305,95415,No,2014-2018
92886,123737,118835,128639,No,2014-2018
92887,142615,132680,152550,No,2014-2018
