NAME,ST_FIPS,CTY_FIPS,Zip,Area,AreaKm
Huntington Beach,6,59,92647,19984240,19.98424
Huntington Beach,6,59,92646,21717475,21.717475
Huntington Beach,6,59,92649,14680190,14.68019
Huntington Beach,6,59,92648,20552108,20.552108
Irvine,6,59,92603,34329457,34.329457
Irvine,6,59,92602,29481287,29.481287
Westminster,6,59,92683,25777625,25.777625
Irvine,6,59,92604,8882936,8.882936
Irvine,6,59,92606,8222678,8.222678
Rancho Santa Margarita,6,59,92688,23623635,23.623635
Anaheim,6,59,92808,16770818,16.770818
Seal Beach,6,59,90740,30030535,30.030535
Sunset Beach,6,59,90742,254818,0.254818
Orange,6,59,92867,20383306,20.383306
Orange,6,59,92866,5103791,5.103791
Orange,6,59,92869,25186966,25.186966
Orange,6,59,92868,8709726,8.709726
Brea,6,59,92823,27665180,27.66518
La Palma,6,59,90623,4794937,4.794937
Villa Park,6,59,92861,5720034,5.720034
Orange,6,59,92865,9453293,9.453293
Newport Coast,6,59,92657,23829328,23.829328
Irvine,6,59,92614,11545163,11.545163
Brea,6,59,92821,27612436,27.612436
Ladera Ranch,6,59,92694,12157806,12.157806
Irvine,6,59,92618,72777036,72.777036
Irvine,6,59,92617,5910802,5.910802
Buena Park,6,59,90621,10370346,10.370346
Laguna Beach,6,59,92651,45950274,45.950274
Buena Park,6,59,90620,17051480,17.05148
Laguna Hills,6,59,92653,17320061,17.320061
Aliso Viejo,6,59,92656,23718566,23.718566
,6,59,92701,8371005,8.371005
Midway City,6,59,92655,1752574,1.752574
Foothill Ranch,6,59,92610,29914292,29.914292
Tustin,6,59,92782,14647157,14.647157
Santa Ana,6,59,92704,19659192,19.659192
Santa Ana,6,59,92703,10660786,10.660786
Irvine,6,59,92612,17233728,17.233728
Santa Ana,6,59,92706,9180920,9.18092
Santa Ana,6,59,92705,29800605,29.800605
Mission Viejo,6,59,92692,25398158,25.398158
Fountain Valley,6,59,92708,23565152,23.565152
Mission Viejo,6,59,92691,22876396,22.876396
Santa Ana,6,59,92707,14113986,14.113986
Fullerton,6,59,92833,19857446,19.857446
Fullerton,6,59,92835,15046038,15.046038
Placentia,6,59,92870,17518115,17.518115
Tustin,6,59,92780,16756754,16.756754
Corona del Mar,6,59,92625,6408486,6.408486
Fullerton,6,59,92832,7080793,7.080793
Capistrano Beach,6,59,92624,3556088,3.556088
Costa Mesa,6,59,92627,17047489,17.047489
Fullerton,6,59,92831,15857733,15.857733
Costa Mesa,6,59,92626,24638618,24.638618
Dana Point,6,59,92629,13183720,13.18372
Newport Beach,6,59,92661,1532035,1.532035
Newport Beach,6,59,92660,26278398,26.278398
Cypress,6,59,90630,16014339,16.014339
Newport Beach,6,59,92663,9955220,9.95522
Newport Beach,6,59,92662,1775410,1.77541
La Habra,6,37,90631,35130463,35.130463
Irvine,6,59,92620,16378838,16.378838
Garden Grove,6,59,92845,5636554,5.636554
Garden Grove,6,59,92844,5510433,5.510433
Anaheim,6,59,92801,15642713,15.642713
Anaheim,6,59,92802,11597180,11.59718
Anaheim,6,59,92805,16951050,16.95105
Anaheim,6,59,92804,18552188,18.552188
Anaheim,6,59,92807,29941780,29.94178
Anaheim,6,59,92806,20241281,20.241281
Trabuco Canyon,6,59,92679,90187579,90.187579
Yorba Linda,6,59,92887,23873946,23.873946
Garden Grove,6,59,92841,11936135,11.936135
Yorba Linda,6,59,92886,38676446,38.676446
Garden Grove,6,59,92840,13493257,13.493257
Stanton,6,59,90680,6923799,6.923799
Garden Grove,6,59,92843,10243956,10.243956
Laguna Woods,6,59,92637,8070749,8.070749
San Clemente,6,59,92672,19890866,19.890866
San Clemente,6,59,92673,30329633,30.329633
San Juan Capistrano,6,59,92675,286367977,286.367977
Lake Forest,6,59,92630,26869206,26.869206
Los Alamitos,6,59,90720,15957926,15.957926
Laguna Niguel,6,59,92677,42303094,42.303094
